date,drawdown
2011-02-25,-0.05902053199701618
2011-02-28,-0.04099933993564031
2011-03-01,-0.0634165800186014
2011-03-02,-0.06737378493312807
2011-03-03,-0.04737303339182242
2011-03-04,-0.05910627294945514
2011-03-07,-0.06710868426699668
2011-03-08,-0.05993592802592884
2011-03-09,-0.06454878426224109
2011-03-10,-0.08529299930390699
2011-03-11,-0.08893014087472773
2011-03-14,-0.10304425570985842
2011-03-15,-0.1257869383064535
2011-03-16,-0.14255949566427173
2011-03-17,-0.13081093308986314
2011-03-18,-0.1287135798225908
2011-03-21,-0.1184117327219405
2011-03-22,-0.1205914516189357
2011-03-23,-0.1191605960230675
2011-03-24,-0.11521766919082732
2011-03-25,-0.11374580100793608
2011-03-28,-0.11499690289777265
2011-03-29,-0.11201147555858681
2011-03-30,-0.1079958583210221
2011-03-31,-0.10893653859165586
2011-04-01,-0.10550322516249488
2011-04-04,-0.10542965528988857
2011-04-05,-0.10551633062399546
2011-04-06,-0.10372981540503035
2011-04-07,-0.10515613256425249
2011-04-08,-0.10653582898113634
2011-04-11,-0.10824143880713155
2011-04-12,-0.11516936244066844
2011-04-13,-0.11295504171680071
2011-04-14,-0.1138355548033334
2011-04-15,-0.11074433263221128
2011-04-18,-0.12120515975135804
2011-04-19,-0.1176785706298572
2011-04-20,-0.10426696930942603
2011-04-21,-0.10043963601590356
2011-04-25,-0.10129051126565214
2011-04-26,-0.09446521376387462
2011-04-27,-0.08921587564471123
2011-04-28,-0.0849880759612266
2011-04-29,-0.08236268592143003
2011-05-02,-0.08325819751530905
2011-05-03,-0.08766294172857825
2011-05-04,-0.10112258577061661
2011-05-05,-0.11016405721879563
2011-05-06,-0.10086825168672187
2011-05-09,-0.10089100887666869
2011-05-10,-0.08758552045269685
2011-05-11,-0.09930554026405192
2011-05-12,-0.09744437300453279
2011-05-13,-0.10718380222191881
2011-05-16,-0.11378344339571989
2011-05-17,-0.12135777143784776
2011-05-18,-0.11148139804059742
2011-05-19,-0.1067041378823459
2011-05-20,-0.1179319451916575
2011-05-23,-0.13485905027614375
2011-05-24,-0.13405634866935856
2011-05-25,-0.13108212259183272
2011-05-26,-0.13133038562987231
2011-05-27,-0.12702878418926822
2011-05-30,-0.12714733407891754
2011-05-31,-0.11573298001790167
2011-06-01,-0.13096261594282788
2011-06-02,-0.13552141818143493
2011-06-03,-0.1387425127128843
2011-06-06,-0.14334244392938666
2011-06-07,-0.14335789486536465
2011-06-08,-0.14601909703116045
2011-06-09,-0.14104613555374845
2011-06-10,-0.14628459744993527
2011-06-13,-0.14586194332578062
2011-06-14,-0.14150871077881289
2011-06-15,-0.14616921505840674
2011-06-16,-0.14611456452591864
2011-06-17,-0.14486231463242127
2011-06-20,-0.14468721180832012
2011-06-21,-0.1415916474543455
2011-06-22,-0.14200326620549875
2011-06-23,-0.14453227383176692
2011-06-24,-0.14556273642592288
2011-06-27,-0.1458125407188875
2011-06-28,-0.14464186582236416
2011-06-29,-0.14231915039906606
2011-06-30,-0.14077986444244472
2011-07-01,-0.13933878661665622
2011-07-04,-0.13891227779987958
2011-07-05,-0.1390865661364551
2011-07-06,-0.1392324372510868
2011-07-07,-0.1372061142622737
2011-07-08,-0.14041866131914593
2011-07-11,-0.14922927840050926
2011-07-12,-0.15134833083264543
2011-07-13,-0.14837994673072818
2011-07-14,-0.15073133753870072
2011-07-15,-0.1498689278509353
2011-07-18,-0.15402658606157738
2011-07-19,-0.14959260813850606
2011-07-20,-0.14890222705150358
2011-07-21,-0.1458573023577704
2011-07-22,-0.14507445058370338
2011-07-25,-0.14530659293038461
2011-07-26,-0.14570662223060593
2011-07-27,-0.15111342653007953
2011-07-28,-0.15329273859303705
2011-07-29,-0.1550151872366794
2011-08-01,-0.15942005269576198
2011-08-02,-0.16305143877772632
2011-08-03,-0.16432658075970386
2011-08-04,-0.16434515901414293
2011-08-05,-0.16271685485811083
2011-08-08,-0.15722892111042552
2011-08-09,-0.16054099106103004
2011-08-10,-0.15031243458269128
2011-08-11,-0.16052477387658903
2011-08-12,-0.1682027954816835
2011-08-15,-0.17058559670618145
2011-08-16,-0.16878623864575215
2011-08-17,-0.16712946037599175
2011-08-18,-0.15058600975708525
2011-08-19,-0.14486615307202733
2011-08-22,-0.14465134916315925
2011-08-23,-0.14937155305495242
2011-08-24,-0.15601479073744706
2011-08-25,-0.15149363979407726
2011-08-26,-0.15147588192344985
2011-08-29,-0.16104016435805601
2011-08-30,-0.16033984093151532
2011-08-31,-0.1660499729940519
2011-09-01,-0.1630654787792889
2011-09-02,-0.1539016894568772
2011-09-05,-0.14308416076591723
2011-09-06,-0.14060917050167077
2011-09-07,-0.1524931589905969
2011-09-08,-0.15176942420346817
2011-09-09,-0.14175205289297033
2011-09-12,-0.13809459916103184
2011-09-13,-0.14214701080431313
2011-09-14,-0.1494027837077836
2011-09-15,-0.15678011701404393
2011-09-16,-0.15959875094124742
2011-09-19,-0.15317193520759376
2011-09-20,-0.1585840081868113
2011-09-21,-0.1513358915485402
2011-09-22,-0.13932448632008
2011-09-23,-0.14092821818456236
2011-09-26,-0.14880827347003311
2011-09-27,-0.16002844174298603
2011-09-28,-0.15588047077096057
2011-09-29,-0.1592837775088929
2011-09-30,-0.1518283233800085
2011-10-03,-0.14761890792359933
2011-10-04,-0.1434964352555066
2011-10-05,-0.15573086422977656
