period_label,start,end,bars,cum_return,vol,max_drawdown,ret_over_vol
2019-11,2019-11-01,2019-11-29,21,0.09827246555781799,0.01289949134338941,-0.023813673984018346,7.618320981949385
2019-12,2019-12-02,2019-12-31,21,0.03611397257337057,0.02414144539500196,-0.019517663711627886,1.495932492130206
2020-01,2020-01-02,2020-01-31,22,-0.023762091648253048,0.022908437826444195,-0.10124303581925431,-1.037263729123574
2020-02,2020-02-03,2020-02-28,20,-0.1371069014390448,0.02626356011083253,-0.2137738766768036,-5.220423311251486
2020-03,2020-03-02,2020-03-31,22,0.021035269698186587,0.01778254474588087,-0.06682922625958376,1.1829167309172202
2020-04,2020-04-01,2020-04-30,21,0.003791031249078314,0.0054148017104652234,-0.021907719741153242,0.7001237444672004
2020-05,2020-05-01,2020-05-29,21,0.014219066587586981,0.006346531925720906,-0.015196885801520676,2.2404467123155345
2020-06,2020-06-01,2020-06-30,22,0.03469563539844356,0.013981789473564522,-0.045459866322957065,2.481487470830745
2020-07,2020-07-01,2020-07-31,23,0.004040829038180815,0.00795756037468398,-0.038393785466764974,0.5077974715763673
2020-08,2020-08-03,2020-08-31,21,0.08446878520181578,0.00781299249461783,-0.006926599287916724,10.811322967480661
2020-09,2020-09-01,2020-09-30,22,-0.06562945791274821,0.021048343791112277,-0.12617936471770885,-3.1180343006588687
2020-10,2020-10-01,2020-10-30,22,-0.01376442174637238,0.006645372111952485,-0.040708842110991905,-2.071279307537263
2020-11,2020-11-02,2020-11-30,21,-0.00893348017805562,0.00456160566287904,-0.020769564397594253,-1.958406937880134
2020-12,2020-12-01,2020-12-31,22,0.042365343262093846,0.012480006679035075,-0.04223140140814696,3.3946570984823734
