date,price,price_diff,sigma_price,ewma_short,ewma_long,raw_forecast,scaled_forecast,capped_forecast,N_unrounded,position,forecast_scale,buffer_contracts,prev_pos,pnl_price,delta_pos,cost_usd,cost_pct,slip_cost,pnl,equity,drawdown,bundle,sample
2007-08-20,13121.349609375,42.26953125,167.95893249885825,13282.014039044385,13494.077684919157,-1.2625922463291064,-6.723993830245558,-6.723993830245558,-0.6578269053727205,-1,5.325546588611702,0.09783276457121572,-1.0,-42.26953125,0.0,0.0,0.0,0.0,-42.26953125,9952.114652734375,0.004788534726562466,2,OOS
2007-08-21,13090.8603515625,-30.4892578125,167.62497108566114,13263.808925950872,13484.121701379487,-1.3143195432142871,-6.999469959710537,-6.999469959710537,-0.6876635738357483,-1,5.325546588611702,0.09824509252757574,-1.0,30.4892578125,0.0,0.0,0.0,0.0,30.4892578125,9982.603910546875,0.001739608945312466,2,OOS
2007-08-22,13236.1298828125,145.26953125,169.80100650672213,13261.172826604361,13477.998446600055,-1.2769395450380343,-6.800401037940682,-6.800401037940682,-0.6518527504423605,-1,5.325546588611702,0.09585504543122603,-1.0,-145.26953125,0.0,0.0,0.0,0.0,-145.26953125,9837.334379296875,0.016266562070312466,2,OOS
2007-08-23,13235.8798828125,-0.25,168.00190933907064,13258.76397481466,13472.020210457153,-1.2693679285042403,-6.7600780413388595,-6.7600780413388595,-0.6548515739344097,-1,5.325546588611702,0.09687041627772598,-1.0,0.25,0.0,0.0,0.0,0.0,0.25,9837.584379296875,0.016241562070312465,2,OOS
2007-08-24,13378.8701171875,142.990234375,169.49439474709882,13270.202655040644,13469.720208154198,-1.1771336356653694,-6.268880017757798,-6.268880017757798,-0.5952669598489826,-1,5.325546588611702,0.09495587061209904,-1.0,-142.990234375,0.0,0.0,0.0,0.0,-142.990234375,9694.594144921875,0.030540585507812464,2,OOS
2007-08-27,13322.1298828125,-56.740234375,161.1811350191832,13275.14810530463,13466.076002590205,-1.184554862843297,-6.308402108838522,-6.308402108838522,-0.6317672722449005,-1,5.325546588611702,0.10014695660565923,-1.0,56.740234375,0.0,0.0,0.0,0.0,56.740234375,9751.334379296875,0.024866562070312466,2,OOS
2007-08-28,13041.849609375,-280.2802734375,167.28770400064556,13252.929200930379,13455.601276831805,-1.211518067703553,-6.451995912500098,-6.451995912500098,-0.6351004312133777,-1,5.325546588611702,0.09843472311923417,-1.0,280.2802734375,0.0,0.0,0.0,0.0,280.2802734375,10031.614652734375,0.0,2,OOS
2007-08-29,13289.2900390625,247.4404296875,173.81638703005927,13256.392137895344,13451.494826516513,-1.1224642966915939,-5.977735906084351,-5.977735906084351,-0.5546655943460004,-1,5.325546588611702,0.09278857464770938,-1.0,-247.4404296875,0.0,0.0,0.0,0.0,-247.4404296875,9784.174223046875,0.024666062070082977,2,OOS
2007-08-30,13238.73046875,-50.5595703125,173.72667770142917,13254.710074167215,13446.241385584006,-1.1024864686928593,-5.871343052337818,-5.871343052337818,-0.5470697921173328,-1,5.325546588611702,0.09317626090669384,-1.0,50.5595703125,0.0,0.0,0.0,0.0,50.5595703125,9834.733793359375,0.019626038897071773,2,OOS
2007-08-31,13357.740234375,119.009765625,175.41601778555878,13264.52247037748,13444.056171973907,-1.0234738187700845,-5.450557504084414,-5.450557504084414,-0.49847496439147504,-1,5.325546588611702,0.09145394099923529,-1.0,-119.009765625,0.0,0.0,0.0,0.0,-119.009765625,9715.724027734375,0.031489509509209056,2,OOS
2007-09-04,13448.8603515625,91.1201171875,175.58676579640542,13282.078459061768,13444.174793692144,-0.9231694307663733,-4.916381812728465,-4.916381812728465,-0.44599556833062404,-1,5.325546588611702,0.09071621882091133,-1.0,-91.1201171875,0.0,0.0,0.0,0.0,-91.1201171875,9624.603910546875,0.0405728047056272,2,OOS
