Date,Open,High,Low,Close,Tickvol,Volume,Spread
2024-01-25 04:00:00,36044.5,36319.5,36029.5,36254.5,1764,0,700
2024-01-25 08:00:00,36249.5,36254.5,36139.5,36194.5,1258,0,700
2024-01-25 12:00:00,36194.5,36219.5,36084.5,36189.5,1030,0,700
2024-01-25 16:00:00,36189.5,36199.5,36059.5,36114.5,1981,0,700
2024-01-25 20:00:00,36114.5,36149.5,36004.5,36034.5,1386,0,700
2024-01-26 00:00:00,36043.0,36064.5,35804.5,35868.5,3986,0,700
2024-01-26 04:00:00,35868.5,35917.5,35692.5,35732.5,2748,0,700
2024-01-26 08:00:00,35732.5,35906.5,35677.5,35892.5,1913,0,700
2024-01-26 12:00:00,35892.5,35987.5,35847.5,35957.5,1357,0,700
2024-01-26 16:00:00,35952.5,36097.5,35902.5,35952.5,2041,0,700
2024-01-26 20:00:00,35952.5,36022.5,35867.5,35872.5,1218,0,700
2024-01-29 00:00:00,35922.5,36112.5,35791.5,36102.5,2821,0,700
2024-01-29 04:00:00,36102.5,36192.5,35957.5,36032.5,2372,0,700
2024-01-29 08:00:00,36037.5,36072.5,35927.5,35957.5,1523,0,700
2024-01-29 12:00:00,35957.5,36067.5,35947.5,36042.5,1035,0,700
2024-01-29 16:00:00,36042.5,36087.5,35884.5,35942.5,1527,0,700
2024-01-29 20:00:00,35942.5,36182.5,35937.5,36167.5,1126,0,700
2024-01-30 00:00:00,36131.0,36281.5,36072.5,36157.5,2933,0,700
2024-01-30 04:00:00,36157.5,36187.5,36037.5,36047.5,2009,0,700
2024-01-30 08:00:00,36057.5,36057.5,35891.5,35951.5,1524,0,700
2024-01-30 12:00:00,35951.5,35997.5,35931.5,35952.5,982,0,700
2024-01-30 16:00:00,35957.5,36042.5,35887.5,35967.5,1721,0,700
2024-01-30 20:00:00,35967.5,36002.5,35742.5,35757.5,1299,0,700
2024-01-31 00:00:00,35699.0,35912.5,35677.5,35862.5,3187,0,700
2024-01-31 04:00:00,35862.5,36282.5,35837.5,36282.5,2306,0,700
2024-01-31 08:00:00,36277.5,36397.5,36222.5,36257.5,1745,0,700
2024-01-31 12:00:00,36252.5,36332.5,36242.5,36267.5,1094,0,700
2024-01-31 16:00:00,36267.5,36267.5,35872.5,35952.5,2605,0,700
2024-01-31 20:00:00,35952.5,36097.5,35807.5,35967.5,3270,0,700
2024-02-01 00:00:00,35973.5,36147.5,35856.5,36017.5,3153,0,700
2024-02-01 04:00:00,36017.5,36042.5,35922.5,35952.5,2162,0,700
2024-02-01 08:00:00,35972.5,36037.5,35862.5,36012.5,1959,0,700
2024-02-01 12:00:00,36017.5,36147.5,35992.5,36037.5,1457,0,700
2024-02-01 16:00:00,36037.5,36132.5,35737.5,36062.5,2992,0,700
2024-02-01 20:00:00,36062.5,36312.5,35992.5,36242.5,1998,0,700
2024-02-02 00:00:00,36267.5,36447.5,36077.5,36412.5,3053,0,700
2024-02-02 04:00:00,36412.5,36417.5,36117.5,36167.5,3400,0,700
2024-02-02 08:00:00,36172.5,36177.5,36032.5,36132.5,1488,0,700
2024-02-02 12:00:00,36132.5,36192.5,36062.5,36107.5,1387,0,700
2024-02-02 16:00:00,36107.5,36397.5,36072.5,36342.5,2286,0,700
2024-02-02 20:00:00,36342.5,36442.5,36302.5,36397.5,1576,0,700
2024-02-05 00:00:00,36400.0,36511.0,36212.5,36342.5,3379,0,700
2024-02-05 04:00:00,36342.5,36467.5,36307.5,36392.5,2444,0,700
2024-02-05 08:00:00,36387.5,36437.5,36222.5,36242.5,1685,0,700
2024-02-05 12:00:00,36242.5,36377.5,36242.5,36252.5,1160,0,700
2024-02-05 16:00:00,36252.5,36332.5,36137.5,36322.5,2420,0,700
2024-02-05 20:00:00,36322.5,36422.5,36297.5,36365.0,1515,0,700
2024-02-06 00:00:00,36382.5,36382.5,36067.5,36132.5,2395,0,700
2024-02-06 04:00:00,36127.5,36302.5,36082.5,36147.5,2314,0,700
2024-02-06 08:00:00,36152.5,36207.5,36077.5,36132.5,1243,0,700
2024-02-06 12:00:00,36132.5,36167.5,36062.5,36147.5,1009,0,700
2024-02-06 16:00:00,36152.5,36212.5,35827.5,35882.5,3095,0,700
2024-02-06 20:00:00,35877.5,35997.5,35862.5,35985.0,1466,0,700
2024-02-07 00:00:00,35961.0,36207.5,35881.5,36112.5,3132,0,700
2024-02-07 04:00:00,36112.5,36147.5,35847.5,36137.5,2578,0,700
2024-02-07 08:00:00,36137.5,36162.5,36067.5,36097.5,1466,0,700
2024-02-07 12:00:00,36097.5,36252.5,36072.5,36242.5,1126,0,700
2024-02-07 16:00:00,36242.5,36277.5,36127.5,36247.5,2380,0,700
2024-02-07 20:00:00,36247.5,36400.5,36227.5,36388.0,1239,0,700
2024-02-08 00:00:00,36369.0,36590.5,36310.5,36580.5,2511,0,700
2024-02-08 04:00:00,36575.5,36965.5,36570.5,36890.5,3553,0,700
2024-02-08 08:00:00,36890.5,36965.5,36855.5,36940.5,1564,0,700
2024-02-08 12:00:00,36940.5,37145.5,36800.5,36825.5,1894,0,700
2024-02-08 16:00:00,36825.5,37055.5,36785.5,37050.5,2140,0,700
2024-02-08 20:00:00,37050.5,37138.5,37028.5,37123.5,1089,0,700
2024-02-09 00:00:00,37104.5,37288.5,36923.5,36998.5,3501,0,700
2024-02-09 04:00:00,36998.5,37148.5,36923.5,36933.5,2667,0,700
2024-02-09 08:00:00,36923.5,37143.5,36878.5,37113.5,1550,0,700
2024-02-09 12:00:00,37118.5,37173.5,37033.5,37113.5,1200,0,700
2024-02-09 16:00:00,37108.5,37138.5,37003.5,37128.5,1846,0,700
2024-02-09 20:00:00,37128.5,37198.5,37108.5,37133.5,852,0,700
2024-02-12 00:00:00,37162.0,37213.5,37073.5,37193.5,878,0,700
2024-02-12 04:00:00,37193.5,37268.5,37193.5,37258.5,467,0,700
2024-02-12 08:00:00,37258.5,37263.5,37188.5,37238.5,796,0,700
2024-02-12 12:00:00,37238.5,37263.5,37188.5,37233.5,683,0,700
2024-02-12 16:00:00,37238.5,37568.5,37233.5,37563.5,1331,0,700
2024-02-12 20:00:00,37563.5,37603.5,37388.5,37472.5,1452,0,700
2024-02-13 00:00:00,37456.0,37662.5,37411.5,37652.5,3240,0,700
2024-02-13 04:00:00,37652.5,38012.5,37652.5,37992.5,2535,0,700
2024-02-13 08:00:00,37982.5,38397.5,37982.5,38112.5,2283,0,700
2024-02-13 12:00:00,38112.5,38112.5,37772.5,37832.5,1824,0,700
2024-02-13 16:00:00,37837.5,37917.5,37702.5,37772.5,2948,0,700
2024-02-13 20:00:00,37772.5,37787.5,37547.5,37717.5,1573,0,700
2024-02-14 00:00:00,37721.0,37837.5,37622.5,37677.5,3544,0,700
2024-02-14 04:00:00,37677.5,37812.5,37592.5,37757.5,2164,0,700
2024-02-14 08:00:00,37752.5,38012.5,37702.5,37962.5,1797,0,700
2024-02-14 12:00:00,37967.5,37977.5,37872.5,37912.5,1172,0,700
2024-02-14 16:00:00,37912.5,38062.5,37827.5,37962.5,2776,0,700
2024-02-14 20:00:00,37962.5,38137.5,37892.5,38107.5,1812,0,700
2024-02-15 00:00:00,38098.5,38181.5,37952.5,38022.5,2524,0,700
2024-02-15 04:00:00,38022.5,38197.5,37937.5,38177.5,1930,0,700
2024-02-15 08:00:00,38177.5,38297.5,38107.5,38227.5,1540,0,700
2024-02-15 12:00:00,38227.5,38327.5,38197.5,38262.5,1264,0,700
2024-02-15 16:00:00,38257.5,38517.5,38212.5,38462.5,2259,0,700
2024-02-15 20:00:00,38467.5,38662.5,38452.5,38627.5,1336,0,700
